,A,B,C,D
2000-01-01,0.9809880728314375,0.6795013306538853,0.4632693940256617,2.0426715620566522
2000-01-02,0.7027987572950256,1.1909841494832278,0.5964172415444977,3.1756215465741073
2000-01-03,0.7104719435163386,0.8461766791625537,0.8880212242207578,2.434629451661362
2000-01-04,1.5122521021446231,2.4024252380102067,1.7442989783003355,2.787304614263882
2000-01-05,1.0701273921280465,2.561449583680533,-0.0954546990847176,2.7092779523143697
2000-01-06,2.102914509997637,1.504256899189555,-0.5304917930462708,2.366554543732049
2000-01-07,2.0409891080359106,1.5935346120839615,-0.6284637610622509,3.3747616879251012
2000-01-08,0.7076011487013245,1.4175257195213402,-0.5892810144552965,3.0746293513910956
2000-01-09,-0.4586745668418686,1.5344934498469955,-0.9878088801751843,1.7627437343953467
2000-01-10,0.20820306603896754,0.46883920699475357,0.2651788261677279,0.2898750663330092
2000-01-11,0.22473792052035768,0.5132732227811738,2.077465654961905,-1.468015300393297
2000-01-12,0.5208123036252681,0.49465055858176676,2.0074606675556073,-2.4765690165090106
2000-01-13,0.26139310334199656,1.6359152195351405,3.289040828304346,-3.889665394441286
2000-01-14,0.34563052794782,2.672098064751417,3.8858656135265646,-3.746412954343134
2000-01-15,0.6573445820561821,2.799584362750633,4.3611020376681955,-5.265967459116448
2000-01-16,0.20618151476820523,3.0048100106914224,4.2360377347239515,-7.062032771030342
2000-01-17,0.6281783179150378,4.554248839556932,3.6486538616509256,-6.374370729991664
2000-01-18,2.26953254997162,4.606436089392196,3.787113279407759,-5.349202635652613
2000-01-19,2.0168012187596958,3.778232645322293,3.5441344144333318,-6.365258073872013
2000-01-20,2.5277760043999997,1.6222154282056547,4.5685792780891745,-6.129356437626645
2000-01-21,1.485055234814901,1.4076579512702652,5.478578456818962,-6.153675731496356
2000-01-22,1.4129739807318438,1.2587047208570488,5.471277851799469,-5.929839070355479
2000-01-23,1.6145016840245128,2.3419374900522616,6.106637373444373,-6.569353059782914
2000-01-24,1.1559740925476694,2.2257327927229813,6.992337240425055,-6.926685779757639
2000-01-25,2.1878067862596584,3.130072242949012,7.6342491054647965,-6.413467560550844
2000-01-26,2.9616723179786177,4.452025528670237,5.813192154557875,-6.774449987234266
2000-01-27,4.682810283663368,5.302564778788312,7.409643984792253,-8.428075459350152
2000-01-28,3.5309891298215073,4.202130380411584,6.296061192818826,-7.575284334164623
2000-01-29,3.2860890512336765,4.24075794649581,4.756651037384085,-7.488835536835745
2000-01-30,4.091337932900683,4.33618797858492,4.4800628589176,-8.941325548557742
2000-01-31,3.4904039173947616,3.353150373527726,4.2447448041549505,-10.216221215575244
2000-02-01,0.3027915762026634,2.6349424448821734,3.1805015436284076,-10.314029990328134
2000-02-02,0.5422095009029104,2.1805147531400855,3.2508651747158135,-8.331556285931818
2000-02-03,0.8600311258806197,2.0159433635903197,4.26331358350352,-8.085599723631518
2000-02-04,1.9044898697657384,4.46523741941469,3.3374849580323955,-8.840308246529704
2000-02-05,2.1009059861053054,3.725139197899147,2.8719818940135053,-10.361099531453938
2000-02-06,0.40614991203333517,3.75054722530332,3.798673385960617,-10.08984307352988
2000-02-07,0.46746776796555944,4.7105268118993395,2.856214860690929,-8.819970996189147
2000-02-08,0.7902388933597149,4.366741912647402,3.2678380323681298,-8.58409457602383
2000-02-09,0.44263264560017834,5.323721631547202,2.013309914903636,-7.432850955225951
2000-02-10,1.0355781553835233,5.529652399723901,2.2449209395129586,-8.986275760614358
2000-02-11,1.2399519411711863,4.714256642765002,2.141238067858657,-8.103705118217828
2000-02-12,-0.36370958938464204,4.736707093172074,2.786713194305819,-8.838597940826364
2000-02-13,-0.3975015535632693,4.519158005755304,2.7255985063119486,-9.867581018298498
2000-02-14,0.7890573407689883,4.399888137753839,2.1542873780742546,-11.339195909694716
2000-02-15,1.2085541811224814,3.965534232590266,3.45530991562286,-9.973674806684699
2000-02-16,1.6162808910625865,1.5220584132131716,3.935118951913361,-9.971409110532424
2000-02-17,0.9212527721935877,0.39221954677771365,3.9878479275930445,-8.450763940512825
2000-02-18,2.188176723598631,0.33921730498065855,4.946629911514471,-10.063766285443126
2000-02-19,0.7184011529469301,1.1660834536298863,4.519558605069714,-10.536332980549396
2000-02-20,1.8856863906348735,0.939633824442049,3.606065375215071,-10.752630288746627
2000-02-21,-0.07409998849994426,-1.7209745511783212,4.676007098989832,-9.412226905000486
2000-02-22,0.37681785410697344,-2.738979640001566,5.097850624093659,-8.69460664852832
2000-02-23,-1.5880769898372056,-2.228253871781095,5.554960518614803,-9.69127351785444
2000-02-24,-1.6958199842459645,-2.4653872586077905,5.574278392055718,-8.70436229876744
2000-02-25,-0.416261432891575,-3.5723972286087786,6.159565959148267,-8.246861287983522
2000-02-26,-0.17902477085538837,-4.877004424546683,6.197991505314548,-7.946992370403101
2000-02-27,0.7085633984518221,-4.212481621321726,5.5404063761410045,-9.212640244072325
2000-02-28,3.1818734045788517,-2.3150423501301773,6.294217632350421,-11.27957595323111
2000-02-29,1.9926818181012218,-3.8124056153755568,6.403806977609842,-11.476500705234773
2000-03-01,2.9411138918253164,-5.836271788409116,6.07949039440497,-12.12974038858796
2000-03-02,1.4752989099037792,-7.151145047365145,5.598650857316484,-12.288472106364578
2000-03-03,1.4748056247258732,-7.828322812822097,6.010801540292876,-13.33171868670038
2000-03-04,1.7038520659954626,-8.363271004952134,6.725836981639381,-13.06760868807621
2000-03-05,3.099342427651788,-8.125715903867697,6.315508910333643,-12.576288664104384
2000-03-06,3.6778999130755468,-7.604712462722223,8.400634036503464,-10.49898651787456
2000-03-07,2.466681478496013,-7.113251404420586,7.770319116459201,-9.800221268959179
