Gene Name,ZT1,ZT4,ZT7,ZT10,ZT13,ZT16,ZT19,ZT22
Gm4952,23.327,16.005,6.308,9.402,11.382,12.141,14.68,16.706
Kcnk6,5.940663176,5.144851658,3.36707388,2.942408377,3.613728912,4.310645724,4.408376963,5.798720186
Smagp,13.465,7.944,3.853,4.04,5.853,9.329,11.669,13.198
Slc22a15,11.113,9.235,7.645,4.112,4.847,5.703,9.009,10.821
Leo1,7.809,6.144,2.475,3.444,4.632,6.544,7.604,7.574
Magi1,17.62,13.383,11.219,9.605,7.792,12.01,11.493,12.362
Magi1,17.871,13.344,11.278,9.533,7.882,12.194,11.343,12.345
Tfe3,17.02,16.553,16.349,15.651,16.302,11.064,14.931,16.362
Shank2,13.065,7.357,3.773,3.168,2.37,8.804,11.192,9.148
Sema4c,7.11369509,5.914728682,5.493540052,5.237726098,3.850129199,5.059431525,6.257105943,6.418604651
Rbms1,19.272,16.827,19.104,11.32,11.077,8.83,12.447,14.214
Kifc3,17.07,9.313,7.186,10.347,11.885,13.691,16.863,14.296
Htatip2,31.336,22.971,16.109,14.154,18.492,23.047,30.791,29.494
Pigp,5.289974172,4.778116929,4.545667997,3.92345621,3.244893167,2.714252172,4.005635126,3.810753698
Pigp,5.265118317,4.715162138,4.285714286,3.948290973,3.264680105,2.648992112,3.959246275,3.770815074
Pigp,5.25006099,4.869480361,4.28641132,3.827762869,3.198341059,2.756769944,4.161990729,3.720419615
Rit1,10.963,9.979,7.945,7.716,6.409,8.593,9.335,9.148
Irf2bp2,296.9022604,191.8592805,225.8643744,74.34574976,126.8895256,161.8083413,202.7698185,268.9143585
Ccdc152,13.215,12.483,8.823,10.114,8.115,2.365,4.542,7.525
Gm4952,23.277,16.201,6.308,9.605,11.49,12.22,15.132,17.083
Kdm4c,5.456,5.126,4.352,4.04,3.501,4.967,4.567,5.246
Dhrs3,84.097,55.528,47.629,37.594,58.725,64.463,78.571,72.711
Thpo,34.41737033,28.79372738,19.40892642,23.80458384,17.97587455,27.83353438,25.60916767,29.5464415
Nfkb2,8.040717221,5.554725439,5.10833022,4.940231603,3.453492716,2.846469929,3.890549122,4.256630557
Nfkb2,7.700072098,5.45541937,5.037250661,4.575823119,3.321316991,3.030521509,3.919730834,4.097572699
Smlr1,64.84518167,62.87045814,54.93522907,58.19589258,48.38546603,41.05845182,54.70774092,58.97472354
Map4k4,6.407,5.126,4.272,3.749,4.237,3.206,5.42,6.164
E030030I06Rik,5.406,4.657,4.631,3.386,4.381,4.205,4.366,5.066
Rhod,16.419,11.27,10.22,8.065,10.754,9.014,10.841,12.116
Asgr2,16.819,16.318,9.781,9.387,6.858,10.853,14.53,11.034
Cd9,5.306,2.387,1.357,1.453,2.226,3.495,2.484,4.23
Enc1,7.456723027,5.04126409,3.89794686,4.4897343,3.39673913,2.406400966,5.051328502,6.006441224
Nab1,13.365,12.014,12.995,9.954,9.3,8.278,9.912,9.509
Naga,10.84167238,10.51405072,8.045236463,7.788896504,5.783413297,7.601096642,7.258396162,7.618917066
Thpo,33.97989576,27.05013651,18.33209233,24.39935468,15.9977662,25.89476297,23.54306279,28.3618764
Ugdh,47.354,38.897,29.384,29.34,23.824,38.63,39.95,40.561
Anxa5,10.662,7.67,7.605,5.522,6.284,4.467,7.252,7.345
