,A,B,C,D
2000-01-01,0.11813525681964063,1.8328164001612444,-1.731024734835022,-0.18601678757208367
2000-01-02,-0.8014194309155384,1.3607295199148628,-2.251389023426511,0.40249605683509077
2000-01-03,-2.5812616793407415,2.116692904258908,-2.1857160618147926,0.9932279926621741
2000-01-04,-1.155669536906508,3.8747364950263403,-2.819493452399563,1.1820972856542313
2000-01-05,-2.5770124258043774,2.770117939607175,-2.4796018044570065,1.6247288228934205
2000-01-06,-1.2227289795357823,2.2256401010827407,-2.5233900483448224,1.809294388926978
2000-01-07,-2.687414462413792,0.17595473498267022,-2.616056486578976,3.2678843771278605
2000-01-08,-2.1005862313580552,-0.6589189378616369,-3.2373528824294158,1.1151496124733544
2000-01-09,-3.3107976722413843,0.6055979406931709,-4.449280341078991,1.888924335908123
2000-01-10,-3.5666022493244673,0.926443638728629,-3.5860091367672595,3.459927501348316
2000-01-11,-4.869477838431196,0.20672428165948808,-5.205742124418146,4.340894421138713
2000-01-12,-6.263146979316143,-0.6710581629891054,-4.438822480663365,3.4512196913917395
2000-01-13,-4.996766748104708,0.2434102658211844,-4.69436542544764,2.117162156883685
2000-01-14,-3.407192057334724,0.00325400440547724,-2.9615412003689157,1.6563118166621666
2000-01-15,-2.803689520593527,1.7435734169179604,-3.882550944807518,0.9338418725318965
2000-01-16,-2.697150237086709,1.7835678573662685,-3.4643018000440233,0.12080388251672292
2000-01-17,-3.416675716802713,2.0718077923642273,-2.8337146940265145,0.6341995438410432
2000-01-18,-2.3908618585306325,1.7908587291324536,-3.2572701843693896,1.3791910186127314
2000-01-19,-2.3433249073561737,0.5118843382381877,-3.17408069905114,0.21393070427210548
2000-01-20,-3.0285959691629434,-0.2703046599405121,-1.8648043454405776,0.2800997870056544
2000-01-21,-2.6876032933357292,-1.2121306382395471,-2.9255538044578477,-1.349153668182876
2000-01-22,-3.7582857078471203,-1.7021428561735692,-3.300081345913744,-0.5671938751187235
