,A,B,C,D
2000-01-01,1.0520617257882083,0.4668730271163649,0.04636305945369806,0.5261378220326046
2000-01-02,0.966929175501432,1.0974982311441066,-1.0522240758797325,1.6442734120695133
2000-01-03,1.2958116267291144,-0.6280073230498693,-0.8365696010866266,2.2198475780754707
2000-01-04,0.12480906071923048,-0.9433054319627447,-1.2914052759167398,2.146204857569713
2000-01-05,0.4883155069563018,-3.4027608349421854,-0.6630410436307551,1.2925801586480206
2000-01-06,0.1174121143809484,-3.952491186150301,-1.748652633492974,0.9198941094481122
2000-01-07,0.7118928463082741,-3.5187007996350648,-1.2657131758464015,0.14111442999202262
2000-01-08,1.039350457065001,-3.6999796323819223,-1.215165378811471,1.3674412304281827
2000-01-09,1.5304209256314953,-4.840788866709483,-1.2532623561599765,2.0736662440164837
2000-01-10,3.6072297168615877,-3.004693377255436,-0.9687954413076602,2.752781979249179
2000-01-11,2.371417312573895,-2.5722960715127634,-0.017724893239860817,4.553586127557791
2000-01-12,1.1310762938715575,-3.4452749684137496,0.11142631836290154,4.237680305639905
2000-01-13,0.10009890810853572,-1.577932423674737,-1.272902989482113,4.3015324538691875
2000-01-14,-0.8341510323414136,-2.68403752312798,-1.4735630289652906,4.67030520179809
2000-01-15,-0.771768103999347,-3.1356177286544473,-1.9865737839561186,4.290287620071755
2000-01-16,-1.9736633814972318,-4.602859910358702,-1.7698015960562221,3.931844914512294
2000-01-17,-3.238056694254662,-5.490664289797931,-3.101736706317279,2.5269280674024004
2000-01-18,-4.079844636228406,-5.206141819400081,-2.7832639098315046,1.6898925444622943
2000-01-19,-1.6730469983077159,-4.806251023553102,-3.1645515388048873,0.3795773617222422
2000-01-20,-0.5643434027366943,-3.5452886407276276,-3.651943570607126,0.4861395579342554
2000-01-21,0.8227852755837388,-2.3752020492449755,-4.231229720606256,-0.054552587706649114
2000-01-22,1.1373522991653195,-2.0643669223063874,-5.0228635779011865,-0.4693450341537809
2000-01-23,-0.04660192755334536,-1.171801840122078,-6.915313370947592,-2.1341904089329913
2000-01-24,0.29261891890861785,-2.7864638092198764,-5.570068090154168,-0.17153257604897565
